查	chá	220	investigate
渣	zhā	221	sediment
染	rǎn	222	dye (v.)
李	lǐ	223	plum
桌	zhuō	224	table
杂	zá	225	miscellaneous
若	ruò	226	as if
草	cǎo	227	grass
艺	yì	228	technique
苦	kǔ	229	suffering (n.)
宽	kuān	230	wide
莫	mò	231	nobody
模	mó	232	imitate
漠	mò	233	desert (n.)
墓	mù	234	grave
苗	miáo	235	seedling
瞄	miáo	236	aim
兆	zhào	237	portent
桃	táo	238	peach
犬	quǎn	239	pooch
尤	yóu	240	remarkable
厌	yàn	241	detest
状	zhuàng	242	state of affairs
妆	zhuāng	243	put on makeup
将	jiàng	244	General
获	huò	245	seize
默	mò	246	silent
然	rán	247	sort of thing
哭	kū	248	cry (v.)
器	qì	249	utensil
臭	chòu	250	stinking (adj.)
狗	gǒu	251	dog
牛	niú	252	cow
特	tè	253	special (adj.)
告	gào	254	declare
浩	hào	255	vast
先	xiān	256	before
洗	xǐ	257	wash (v.)
个	gè	258	individual
介	jiè	259	introduce
界	jiè	260	world
茶	chá	261	tea
合	hé	262	fit (v.)
哈	hā	263	ha!
塔	tǎ	264	pagoda
王	wáng	265	king
玉	yù	266	jade
宝	bǎo	267	treasure (n.)
球	qiú	268	ball
现	xiàn	269	present (adj.)
玩	wán	270	play (v.)
狂	kuáng	271	crazy
皇	huáng	272	emperor
煌	huáng	273	resplendent
呈	chéng	274	submit
全	quán	275	whole
理	lǐ	276	logic
主	zhǔ	277	lord
注	zhù	278	pour
金	jīn	279	gold
钟	zhōng	280	bell
铜	tóng	281	copper
钓	diào	282	go fishin'
针	zhēn	283	needle (n.)
钉	dīng	284	nail (n.)
铭	míng	285	inscription
镇	zhèn	286	at ease
道	dào	287	way
达	dá	288	reach (v.)
远	yuǎn	289	distant
适	shì	290	suitable
过	guò	291	cross (v.)
迈	mài	292	stride
迅	xùn	293	speedy
造	zào	294	create
逃	táo	295	escape (v.)
巡	xún	296	patrol (v.)
选	xuǎn	297	choose
逊	xùn	298	modest
逛	guàng	299	stroll
车	chē	300	car
连	lián	301	one after another
莲	lián	302	lotus
前	qián	303	in front
剪	jiǎn	304	shears
输	shū	305	transport
逾	yú	306	exceed
条	tiáo	307	strip (n.)
处	chù	308	location
各	gè	309	each
格	gé	310	pattern
略	lüè	311	abbreviation
客	kè	312	guest
额	é	313	forehead
夏	xià	314	summer
洛	luò	315	L.A.
落	luò	316	fall
备	bèi	317	prepare
冗	rǒng	318	superfluous
沉	chén	319	profound
军	jūn	320	army
辉	huī	321	radiance
冠	guān	322	crown
坑	kēng	323	pit (n.)
亩	mǔ	324	Chinese acre
高	gāo	325	tall
享	xiǎng	326	enjoy
熟	shú	327	ripe
亭	tíng	328	pavilion
亮	liàng	329	shiny
京	jīng	330	capital
景	jǐng	331	scenery
就	jiù	332	at once
周	zhōu	333	circumference
士	shì	334	soldier
吉	jí	335	lucky
壮	zhuàng	336	robust
学	xué	337	study (v.)
觉	jué	338	senses (n.)
攻	gōng	339	attack
敌	dí	340	enemy
败	bài	341	fail
故	gù	342	deliberately
救	jiù	343	rescue (v.)
敬	jìng	344	revere
敞	chǎng	345	spacious
言	yán	346	say
警	jǐng	347	police (n.)
计	jì	348	plan (n.)
让	ràng	349	yield (n.)
狱	yù	350	prison
讨	tǎo	351	condemn
训	xùn	352	instruction
识	shí	353	knowledge
话	huà	354	talk (n.)
诗	shī	355	poem
语	yǔ	356	language
调	diào	357	tune (n.)
谈	tán	358	discuss
式	shì	359	style (n.)
试	shì	360	test
戈	gē	361	halberd
战	zhàn	362	war
划	huá	363	scratch (v.)
或	huò	364	or
贼	zéi	365	burglar
载	zài	366	laden
茂	mào	367	lush
成	chéng	368	turn into
城	chéng	369	city
诚	chéng	370	sincere
威	wēi	371	might (n.)
咸	xián	372	salty
钱	qián	373	coin (n.)
浅	qiǎn	374	shallow
贱	jiàn	375	cheap
尧	Yáo	376	Yao
烧	shāo	377	fever
晓	xiǎo	378	dawn
止	zhǐ	379	stop (v.)
步	bù	380	footstep
涉	shè	381	ford (v.)
频	pín	382	repeatedly
肯	kěn	383	agree
企	qǐ	384	look forward to
武	wǔ	385	military (adj.)
赋	fù	386	levy (n.)
正	zhèng	387	correct (v. / adj.)
证	zhèng	388	evidence
政	zhèng	389	politics
定	dìng	390	settle on
走	zǒu	391	walk
超	chāo	392	transcend
越	yuè	393	surpass
是	shì	394	be
题	tí	395	topic
延	yán	396	prolong
诞	dàn	397	nativity
建	jiàn	398	build
楚	chǔ	399	clear (adj.)
衣	yī	400	clothing
裁	cái	401	tailor (v.)
装	zhuāng	402	attire (n.)
哀	āi	403	grief
袁	yuán	404	Yuan
初	chū	405	elementary
补	bǔ	406	patch (v.)
衬	chèn	407	inner garments
农	nóng	408	agriculture
浓	nóng	409	concentrated
巾	jīn	410	towel
帅	shuài	411	commander
师	shī	412	teacher
狮	shī	413	lion
布	bù	414	cloth
帜	zhì	415	streamer
帽	mào	416	hat
幕	mù	417	curtain
棉	mián	418	cotton
市	shì	419	market (n.)
肺	fèi	420	lungs
带	dài	421	sash
滞	zhì	422	stagnant
刺	cì	423	thorn
制	zhì	424	system
雨	yǔ	425	rain
雷	léi	426	thunder (n.)
霜	shuāng	427	frost
云	yún	428	cloud
运	yùn	429	carry
冰	bīng	430	ice
况	kuàng	431	situation
冲	chōng	432	collide
减	jiǎn	433	reduce
凉	liáng	434	cool
冬	dōng	435	winter
天	tiān	436	heavens
吴	wú	437	Wu
娱	yú	438	amusement
